"Step","timelm_attention - train/accuracy","timelm_attention - train/accuracy__MIN","timelm_attention - train/accuracy__MAX","roberta-large_attention - train/accuracy","roberta-large_attention - train/accuracy__MIN","roberta-large_attention - train/accuracy__MAX","roberta-base_attention - train/accuracy","roberta-base_attention - train/accuracy__MIN","roberta-base_attention - train/accuracy__MAX","deberta-large_attention - train/accuracy","deberta-large_attention - train/accuracy__MIN","deberta-large_attention - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX","albert-xlarge_attention - train/accuracy","albert-xlarge_attention - train/accuracy__MIN","albert-xlarge_attention - train/accuracy__MAX","albert-large_attention - train/accuracy","albert-large_attention - train/accuracy__MIN","albert-large_attention - train/accuracy__MAX","albert-base_attention - train/accuracy","albert-base_attention - train/accuracy__MIN","albert-base_attention - train/accuracy__MAX"
"0","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.5","0.5","0.5","0.3125","0.3125","0.3125","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.5625","0.5625","0.5625"
"1","0.625","0.625","0.625","0.5","0.5","0.5","0.5","0.5","0.5","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.375","0.375","0.375","0.375","0.375","0.375","0.5625","0.5625","0.5625"
"2","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.5625","0.5625","0.5625","0.4375","0.4375","0.4375","0.625","0.625","0.625","0.4375","0.4375","0.4375"
"3","0.5","0.5","0.5","0.375","0.375","0.375","0.375","0.375","0.375","0.8125","0.8125","0.8125","0.625","0.625","0.625","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875","0.46875","0.46875","0.46875"
"4","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.375","0.375","0.375","0.5","0.5","0.5","0.5625","0.5625","0.5625","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.59375","0.59375","0.59375"
"5","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.5","0.5","0.5","0.6875","0.6875","0.6875","0.5625","0.5625","0.5625","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875"
"6","0.875","0.875","0.875","0.875","0.875","0.875","0.625","0.625","0.625","0.75","0.75","0.75","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125"
"7","0.625","0.625","0.625","0.625","0.625","0.625","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.71875","0.71875","0.71875"
"8","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.625","0.625","0.625","0.8125","0.8125","0.8125","0.6875","0.6875","0.6875","0.875","0.875","0.875","0.875","0.875","0.875","0.78125","0.78125","0.78125"
"9","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.875","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.875","0.875","0.875","0.875","0.875","0.875"
