"Step","bert_attention_stopword_removed - train/accuracy","bert_attention_stopword_removed - train/accuracy__MIN","bert_attention_stopword_removed - train/accuracy__MAX","bert_attention_hashtag - train/accuracy","bert_attention_hashtag - train/accuracy__MIN","bert_attention_hashtag - train/accuracy__MAX","bert_attention_cleaned_spelling_corrected - train/accuracy","bert_attention_cleaned_spelling_corrected - train/accuracy__MIN","bert_attention_cleaned_spelling_corrected - train/accuracy__MAX","bert_attention_cleaned_lemmatized - train/accuracy","bert_attention_cleaned_lemmatized - train/accuracy__MIN","bert_attention_cleaned_lemmatized - train/accuracy__MAX","bert_attention_cleaned - train/accuracy","bert_attention_cleaned - train/accuracy__MIN","bert_attention_cleaned - train/accuracy__MAX","bert_attention - train/accuracy","bert_attention - train/accuracy__MIN","bert_attention - train/accuracy__MAX"
"0","0.6875","0.6875","0.6875","0.5","0.5","0.5","0.4375","0.4375","0.4375","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375","0.3125","0.3125","0.3125"
"1","0.625","0.625","0.625","0.59375","0.59375","0.59375","0.53125","0.53125","0.53125","0.65625","0.65625","0.65625","0.4375","0.4375","0.4375","0.5","0.5","0.5"
"2","0.625","0.625","0.625","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.71875","0.71875","0.71875","0.71875","0.71875","0.71875","0.5625","0.5625","0.5625"
"3","0.5625","0.5625","0.5625","0.46875","0.46875","0.46875","0.71875","0.71875","0.71875","0.5","0.5","0.5","0.625","0.625","0.625","0.625","0.625","0.625"
"4","0.5625","0.5625","0.5625","0.71875","0.71875","0.71875","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"5","0.5625","0.5625","0.5625","0.625","0.625","0.625","0.625","0.625","0.625","0.5625","0.5625","0.5625","0.625","0.625","0.625","0.5625","0.5625","0.5625"
"6","0.6875","0.6875","0.6875","0.65625","0.65625","0.65625","0.71875","0.71875","0.71875","0.71875","0.71875","0.71875","0.6875","0.6875","0.6875","0.6875","0.6875","0.6875"
"7","0.5","0.5","0.5","0.6875","0.6875","0.6875","0.84375","0.84375","0.84375","0.71875","0.71875","0.71875","0.5625","0.5625","0.5625","0.625","0.625","0.625"
"8","0.5625","0.5625","0.5625","0.6875","0.6875","0.6875","0.78125","0.78125","0.78125","0.875","0.875","0.875","0.59375","0.59375","0.59375","0.6875","0.6875","0.6875"
"9","0.5625","0.5625","0.5625","0.71875","0.71875","0.71875","0.59375","0.59375","0.59375","0.6875","0.6875","0.6875","0.46875","0.46875","0.46875","0.75","0.75","0.75"
